epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2,1.34864,1.67621,1.42813,0.73404,0.66132,0.73406,0.45197,1.41395,4.72207,1.57378,0.000467346,0.000467346,0.000467346
2,81.7061,1.33728,1.17534,1.40992,0.66336,0.69783,0.71406,0.3457,1.74651,1.77057,1.66905,0.000934337,0.000934337,0.000934337
3,133.06,1.36174,1.13902,1.44248,0.40286,0.74123,0.52812,0.29031,1.6128,4.39579,1.68455,0.0013919,0.0013919,0.0013919
4,220.811,1.36617,1.07914,1.39911,0.24338,0.53897,0.25645,0.11977,1.73734,144.038,1.6295,0.00138656,0.00138656,0.00138656
5,300.237,1.32765,0.96425,1.37589,0.59309,0.85372,0.8226,0.45796,1.63526,1.28594,1.59428,0.00137241,0.00137241,0.00137241
6,344.642,1.2775,0.93315,1.34458,0.70554,0.82872,0.83734,0.55857,1.39802,1.12374,1.32314,0.00135826,0.00135826,0.00135826
7,408.861,1.23679,0.88587,1.324,0.76514,0.86331,0.8469,0.51566,1.5358,1.08603,1.43392,0.00134412,0.00134412,0.00134412
8,472.613,1.25877,0.86828,1.33722,0.75623,0.83693,0.84601,0.56779,1.37648,0.99021,1.35639,0.00132997,0.00132997,0.00132997
9,494.956,1.23754,0.87626,1.32514,0.73551,0.82038,0.83177,0.55224,1.36909,1.10184,1.33081,0.00131582,0.00131582,0.00131582
10,513.882,1.19905,0.83647,1.29767,0.72061,0.78917,0.8115,0.5984,1.23693,0.9875,1.25481,0.00130168,0.00130168,0.00130168
11,536.883,1.1977,0.79927,1.27817,0.81812,0.88969,0.88233,0.54101,1.49296,0.96716,1.41266,0.00128753,0.00128753,0.00128753
12,556.515,1.17716,0.7886,1.26362,0.76084,0.80222,0.80525,0.60239,1.2147,0.91365,1.20714,0.00127338,0.00127338,0.00127338
13,577.139,1.13526,0.7716,1.25831,0.80899,0.85498,0.8571,0.59142,1.32871,0.89601,1.30179,0.00125923,0.00125923,0.00125923
14,596.349,1.15872,0.75011,1.26304,0.81707,0.86268,0.86934,0.53003,1.47376,0.94739,1.39017,0.00124509,0.00124509,0.00124509
15,616.333,1.1071,0.72678,1.25964,0.77306,0.88741,0.84725,0.59604,1.3466,0.90623,1.28218,0.00123094,0.00123094,0.00123094
16,635.996,1.08053,0.69466,1.2238,0.83735,0.84652,0.85445,0.54676,1.43067,0.9494,1.33161,0.00121679,0.00121679,0.00121679
17,655.716,1.08879,0.71474,1.22166,0.80108,0.85168,0.84806,0.63038,1.24655,0.93325,1.23834,0.00120265,0.00120265,0.00120265
18,676.747,1.05954,0.72301,1.22287,0.74427,0.75791,0.81048,0.59254,1.27297,1.04023,1.2767,0.0011885,0.0011885,0.0011885
19,696.942,1.08265,0.6945,1.23299,0.77066,0.81711,0.8301,0.58136,1.33466,0.86191,1.29717,0.00117435,0.00117435,0.00117435
20,717.197,0.99776,0.6318,1.15759,0.8152,0.83901,0.85059,0.64906,1.15191,0.83477,1.17595,0.00116021,0.00116021,0.00116021
21,737.928,1.00241,0.63693,1.17675,0.87535,0.86811,0.8673,0.65503,1.15331,0.78679,1.19002,0.00114606,0.00114606,0.00114606
22,757.972,0.99937,0.63424,1.18325,0.81684,0.86938,0.84932,0.65416,1.1184,0.79811,1.15172,0.00113191,0.00113191,0.00113191
23,777.061,0.97932,0.60847,1.16303,0.84612,0.86091,0.85213,0.64058,1.21453,0.82168,1.19375,0.00111776,0.00111776,0.00111776
24,796.091,0.95289,0.58427,1.13829,0.78784,0.84778,0.82895,0.6516,1.16216,0.84264,1.17919,0.00110362,0.00110362,0.00110362
25,815.732,0.95918,0.6002,1.14897,0.7651,0.79856,0.79023,0.62931,1.17788,0.88723,1.19161,0.00108947,0.00108947,0.00108947
26,835.149,0.93443,0.58374,1.13825,0.85153,0.84538,0.85754,0.67193,1.07245,0.77171,1.13343,0.00107532,0.00107532,0.00107532
27,854.914,0.91302,0.5612,1.13063,0.85784,0.87924,0.86799,0.67808,1.09553,0.72701,1.13813,0.00106118,0.00106118,0.00106118
28,874.789,0.88053,0.54175,1.104,0.81451,0.83693,0.83264,0.66772,1.10942,0.7845,1.14711,0.00104703,0.00104703,0.00104703
29,894.012,0.89049,0.53615,1.10915,0.83631,0.86475,0.85155,0.65844,1.12805,0.75031,1.13724,0.00103288,0.00103288,0.00103288
30,913.124,0.88604,0.5394,1.10725,0.85281,0.84173,0.83236,0.68252,1.15018,0.74043,1.14105,0.00101873,0.00101873,0.00101873
31,932.942,0.8796,0.54337,1.10368,0.8187,0.8286,0.80521,0.65589,1.20181,0.76548,1.17415,0.00100459,0.00100459,0.00100459
32,952.087,0.85453,0.52127,1.08508,0.85271,0.8473,0.86738,0.69678,1.11125,0.73784,1.13288,0.00099044,0.00099044,0.00099044
33,971.641,0.83935,0.51924,1.07786,0.81855,0.86571,0.84597,0.66806,1.2083,0.71257,1.16869,0.000976293,0.000976293,0.000976293
34,990.085,0.82087,0.5024,1.07662,0.84598,0.8801,0.84808,0.68285,1.13022,0.73598,1.1585,0.000962146,0.000962146,0.000962146
35,1008.5,0.83567,0.50147,1.08172,0.83464,0.86571,0.83692,0.66824,1.25047,0.7279,1.22432,0.000947999,0.000947999,0.000947999
36,1026.83,0.84995,0.50849,1.08642,0.85931,0.8801,0.85571,0.679,1.14037,0.67287,1.12491,0.000933851,0.000933851,0.000933851
37,1045.25,0.81352,0.49101,1.07988,0.85984,0.89928,0.85892,0.69127,1.15046,0.62915,1.15783,0.000919704,0.000919704,0.000919704
38,1063.65,0.82267,0.48942,1.08142,0.85773,0.88493,0.85217,0.6866,1.16037,0.67481,1.14072,0.000905557,0.000905557,0.000905557
39,1082.01,0.81493,0.48832,1.06682,0.86555,0.90461,0.86932,0.71016,1.12772,0.64811,1.12304,0.00089141,0.00089141,0.00089141
40,1101.12,0.79796,0.47112,1.04967,0.89645,0.90887,0.89122,0.71287,1.10885,0.63527,1.12308,0.000877263,0.000877263,0.000877263
41,1120.21,0.7899,0.46966,1.05205,0.89279,0.88855,0.88754,0.714,1.10679,0.62277,1.13315,0.000863116,0.000863116,0.000863116
42,1139.24,0.7667,0.45711,1.0525,0.85582,0.89728,0.85324,0.68682,1.21547,0.68949,1.20309,0.000848969,0.000848969,0.000848969
43,1157.6,0.76289,0.45023,1.03538,0.88566,0.90887,0.8933,0.71521,1.08698,0.64331,1.12543,0.000834822,0.000834822,0.000834822
44,1176.66,0.76424,0.44501,1.03516,0.88423,0.89688,0.87226,0.69356,1.13853,0.64323,1.15084,0.000820675,0.000820675,0.000820675
45,1195.06,0.7532,0.43626,1.03515,0.86772,0.85977,0.83537,0.66265,1.18893,0.6457,1.19461,0.000806528,0.000806528,0.000806528
46,1213.5,0.77769,0.44046,1.05648,0.87216,0.86394,0.85317,0.68987,1.14023,0.62352,1.16102,0.00079238,0.00079238,0.00079238
47,1231.97,0.75804,0.43302,1.02602,0.86689,0.85498,0.85517,0.69579,1.14286,0.62455,1.14743,0.000778233,0.000778233,0.000778233
48,1250.76,0.74654,0.42878,1.03193,0.86102,0.8779,0.854,0.69628,1.12178,0.61672,1.13715,0.000764086,0.000764086,0.000764086
